name,id,src
PJSalt,36,https://static-cdn.jtvnw.net/emoticons/v1/36/1.0
PJSugar,102556,https://static-cdn.jtvnw.net/emoticons/v1/102556/1.0
PMSTwin,92,https://static-cdn.jtvnw.net/emoticons/v1/92/1.0
PRChase,28328,https://static-cdn.jtvnw.net/emoticons/v1/28328/1.0
PanicVis,3668,https://static-cdn.jtvnw.net/emoticons/v1/3668/1.0
PansexualPride,1130349,https://static-cdn.jtvnw.net/emoticons/v1/1130349/1.0
PartyHat,965738,https://static-cdn.jtvnw.net/emoticons/v1/965738/1.0
PartyTime,135393,https://static-cdn.jtvnw.net/emoticons/v1/135393/1.0
PeoplesChamp,3412,https://static-cdn.jtvnw.net/emoticons/v1/3412/1.0
PermaSmug,27509,https://static-cdn.jtvnw.net/emoticons/v1/27509/1.0
PicoMause,111300,https://static-cdn.jtvnw.net/emoticons/v1/111300/1.0
PinkMercy,1003190,https://static-cdn.jtvnw.net/emoticons/v1/1003190/1.0
PipeHype,4240,https://static-cdn.jtvnw.net/emoticons/v1/4240/1.0
PixelBob,1547903,https://static-cdn.jtvnw.net/emoticons/v1/1547903/1.0
PogChamp,305954156,https://static-cdn.jtvnw.net/emoticons/v1/305954156/1.0
Poooound,117484,https://static-cdn.jtvnw.net/emoticons/v1/117484/1.0
PopCorn,724216,https://static-cdn.jtvnw.net/emoticons/v1/724216/1.0
PorscheWIN,300745158,https://static-cdn.jtvnw.net/emoticons/v1/300745158/1.0
PowerUpL,425688,https://static-cdn.jtvnw.net/emoticons/v1/425688/1.0
PowerUpR,425671,https://static-cdn.jtvnw.net/emoticons/v1/425671/1.0
PraiseIt,38586,https://static-cdn.jtvnw.net/emoticons/v1/38586/1.0
PrimeMe,115075,https://static-cdn.jtvnw.net/emoticons/v1/115075/1.0
PunOko,160401,https://static-cdn.jtvnw.net/emoticons/v1/160401/1.0
PunchTrees,47,https://static-cdn.jtvnw.net/emoticons/v1/47/1.0
